title,datasource,query,visualization,unit,thresholds,w,h
User Registrations,fev06aq8frhfka,"SELECT DATE_TRUNC('day', created_at) AS time, COUNT(*) AS value FROM users WHERE created_at >= $__timeFrom() AND created_at <= $__timeTo() GROUP BY DATE_TRUNC('day', created_at) ORDER BY time",timeseries,short,100|250,12,8
Active Users (Hourly),fev06aq8frhfka,"SELECT DATE_TRUNC('hour', last_login) AS time, COUNT(DISTINCT user_id) AS value FROM user_sessions WHERE last_login >= $__timeFrom() AND last_login <= $__timeTo() GROUP BY DATE_TRUNC('hour', last_login) ORDER BY time",timeseries,short,50|100,6,6
Error Rate (% per minute),pg_analytics_uid,"SELECT DATE_TRUNC('minute', ts) AS time, (COUNT(CASE WHEN status_code >= 400 THEN 1 END) * 100.0 / NULLIF(COUNT(*),0)) AS value FROM application_logs WHERE ts >= $__timeFrom() AND ts <= $__timeTo() GROUP BY DATE_TRUNC('minute', ts) ORDER BY time",barchart,percent,5|10,6,6
API P95 Latency,fev06aq8frhfka,"SELECT DATE_TRUNC('minute', request_time) AS time, PERCENTILE_CONT(0.95) WITHIN GROUP (ORDER BY response_time_ms) AS value FROM api_requests WHERE request_time >= $__timeFrom() AND request_time <= $__timeTo() GROUP BY DATE_TRUNC('minute', request_time) ORDER BY time",timeseries,ms,300|700,12,6
Throughput (RPM),pg_analytics_uid,"SELECT DATE_TRUNC('minute', request_time) AS time, COUNT(*) AS value FROM api_requests WHERE request_time >= $__timeFrom() AND request_time <= $__timeTo() GROUP BY DATE_TRUNC('minute', request_time) ORDER BY time",stat,short,500|1500,6,6
CPU Utilization,fev06aq8frhfka,"SELECT DATE_TRUNC('minute', collected_at) AS time, AVG(cpu_percent) AS value FROM system_metrics WHERE collected_at >= $__timeFrom() AND collected_at <= $__timeTo() GROUP BY DATE_TRUNC('minute', collected_at) ORDER BY time",gauge,percent,70|90,6,6
Memory Usage,fev06aq8frhfka,"SELECT DATE_TRUNC('minute', collected_at) AS time, AVG(memory_bytes_used) AS value FROM system_metrics WHERE collected_at >= $__timeFrom() AND collected_at <= $__timeTo() GROUP BY DATE_TRUNC('minute', collected_at) ORDER BY time",timeseries,bytes,2147483648|3435973836,12,6
Cache Hit Ratio,pg_analytics_uid,"SELECT DATE_TRUNC('minute', collected_at) AS time, (SUM(hits) * 100.0 / NULLIF(SUM(hits + misses),0)) AS value FROM cache_metrics WHERE collected_at >= $__timeFrom() AND collected_at <= $__timeTo() GROUP BY DATE_TRUNC('minute', collected_at) ORDER BY time",timeseries,percent,90|98,6,6
DB Connections,fev06aq8frhfka,"SELECT DATE_TRUNC('minute', connection_time) AS time, COUNT(*) AS value FROM db_connections WHERE connection_time >= $__timeFrom() AND connection_time <= $__timeTo() GROUP BY DATE_TRUNC('minute', connection_time) ORDER BY time",stat,short,80|120,6,6
Order Conversion Rate,pg_analytics_uid,"SELECT DATE_TRUNC('hour', event_time) AS time, (SUM(CASE WHEN event = 'purchase' THEN 1 ELSE 0 END) * 100.0 / NULLIF(SUM(CASE WHEN event IN ('view','add_to_cart','purchase') THEN 1 ELSE 0 END),0)) AS value FROM funnel_events WHERE event_time >= $__timeFrom() AND event_time <= $__timeTo() GROUP BY DATE_TRUNC('hour', event_time) ORDER BY time",timeseries,percent,1|3,12,6
Payment Failure Rate,fev06aq8frhfka,"SELECT DATE_TRUNC('minute', created_at) AS time, (SUM(CASE WHEN status = 'failed' THEN 1 ELSE 0 END) * 100.0 / NULLIF(COUNT(*),0)) AS value FROM payments WHERE created_at >= $__timeFrom() AND created_at <= $__timeTo() GROUP BY DATE_TRUNC('minute', created_at) ORDER BY time",barchart,percent,2|5,6,6
